,Principal Component Vector Number,Class importance
0,1,-0.24006274799758204
1,2,-0.30707128492695224
2,3,-0.18945726313789915
3,4,-0.10037897330995163
4,5,-0.5879721570460322
5,6,0.25629263332414864
6,7,0.07807689225747302
7,8,0.004755060067993703
8,9,-0.3817087233526018
9,10,-0.04841467677732055
10,11,-0.18277194177643738
11,12,-0.2924399651410194
12,13,0.06263834437855009
13,14,-0.007750850776583394
14,15,0.041342176439499397
15,16,0.04149692235617839
16,17,-0.04531803402718688
17,18,-0.050048296284338004
18,19,-0.6079522342178986
19,20,-0.6002370226788944
20,21,0.010829987005462467
21,22,0.09129171505433922
22,23,0.2974277761368167
23,24,0.0386960876731199
24,25,-0.1379068456450557
25,26,-0.053272686071846
26,27,0.010521169076015227
27,28,0.526788385565424
28,29,0.005291759269604569
29,30,0.06593395587233604
30,31,-0.43361044973242374
31,32,-0.26624111631203223
32,33,0.23142621399627675
33,34,-0.2066459236044001
34,35,-0.18142552288764505
35,36,1.5520871868400494
36,37,-0.802856703607928
37,38,0.5839616789204353
38,39,-0.6386042508816
39,40,0.8140848757532758
40,41,-1.0851895644646699
41,42,-0.03045636545815131
42,43,-1.3502971239400359
43,44,-0.5506580361611596
44,45,0.07103001698679506
45,46,-0.16510676757936343
46,47,0.47330374178741436
47,48,0.15329973493320828
48,49,1.7816750176638143
49,50,0.6766308196498685
50,51,-0.33529148501533607
51,52,-0.27591168218026163
52,53,0.45098607854981454
